Route Name,Route Filename
Head of the Hosmer,routes/1.gpx
Saturday Gravel,routes/2.gpx
test_route_Stl,routes/3.gpx
TUCKS,routes/4.gpx
Back40,routes/5.gpx
Quinsigamond Snake,routes/6.gpx
Quinsig_2k,routes/7.gpx
HeadOftheHooch,routes/8.gpx
Oklahoma-City-Rowing,routes/9.gpx
HOSR,routes/10.gpx
Out to the county ,routes/11.gpx
TROT,routes/12.gpx
Oxbow Row,routes/13.gpx
Charles Test ,routes/14.gpx
Umass Row 1 ,routes/15.gpx
Fish-Creek-SaratogaNY,routes/16.gpx
Indianapolis Marathon 2024,routes/17.gpx
Schuylkill Rowing ,routes/18.gpx
Eastern Sprints,routes/19.gpx
BizDash,routes/20.gpx
H2H,routes/21.gpx
Boston Marathon 2024,routes/22.gpx
Bank of America Chicago Marathon 2024,routes/23.gpx
Morganford Road-River des Peres Greenwayi-Macklind Avenue,routes/24.gpx
Mo15,routes/25.gpx
greylock both sides ,routes/26.gpx
UCity,routes/27.gpx
0 mi Ride Route,routes/28.gpx
Hills Insanity ,routes/29.gpx
Trap Run 2024,routes/30.gpx
TROT,routes/31.gpx
Indianapolis Marathon 2024,routes/32.gpx
Maple,routes/33.gpx
Kickstand - HGS,routes/34.gpx
skinner!,routes/35.gpx
Northwest A Street-Razorback Regional Greenway-Blowing Springs Greenway,routes/36.gpx
Mt Washington 2023 ,routes/37.gpx
Noho 2 Boston,routes/38.gpx
King Farm Road-Ketchum Hill Road-Seaver Brook Road,routes/39.gpx
Bank of America Chicago Marathon 2024,routes/40.gpx
H2H,routes/41.gpx
Concord to Littleton,routes/42.gpx
Boston Marathon 2024,routes/43.gpx
Morganford Road-River des Peres Greenwayi-Macklind Avenue,routes/44.gpx
greylock both sides ,routes/45.gpx
UCity,routes/46.gpx
Baystate Marathon 22,routes/47.gpx
Bolton to Harvard ,routes/48.gpx
Easthampton Road-Reservoir Road-Northwest Road,routes/49.gpx
0 mi Ride Route,routes/50.gpx
Hills Insanity ,routes/51.gpx
Trap Run 2024,routes/52.gpx
Maple,routes/53.gpx
Kickstand - HGS,routes/54.gpx
Beacon Street-Washington Street-Hudson Road,routes/55.gpx
BTVille,routes/56.gpx
skinner!,routes/57.gpx
Mt Washington 2023 ,routes/58.gpx
Noho 2 Boston,routes/59.gpx
King Farm Road-Ketchum Hill Road-Seaver Brook Road,routes/60.gpx
Cohasset 2022,routes/61.gpx
Concord to Littleton,routes/62.gpx
Boston Marathon 2024,routes/63.gpx
Cranberry Tri 2022,routes/64.gpx
greylock both sides ,routes/65.gpx
Baystate Marathon 22,routes/66.gpx
Bolton to Harvard ,routes/67.gpx
Easthampton Road-Reservoir Road-Northwest Road,routes/68.gpx
Museum of Science 18,routes/69.gpx
0 mi Ride Route,routes/70.gpx
Hills Insanity ,routes/71.gpx
Chad’s Loop,routes/72.gpx
Museum of Science 14,routes/73.gpx
Harvest Triathlon Olympic 2022,routes/74.gpx
Kickstand - HGS,routes/75.gpx
Beacon Street-Washington Street-Hudson Road,routes/76.gpx
BTVille,routes/77.gpx
skinner!,routes/78.gpx
Mt Washington 2023 ,routes/79.gpx
Prospector ,routes/80.gpx
B52 Somerville Start ,routes/81.gpx
M state,routes/82.gpx
Newport Triathlon,routes/83.gpx
White Mountains Tri - HALF Bike ,routes/84.gpx
Belmont 10K,routes/85.gpx
27 Club ,routes/86.gpx
Conant Loop,routes/87.gpx
St. George Marathon 2021,routes/88.gpx
Beacon Street-Dr. Paul Dudley White Path-Alewife Linear Park,routes/89.gpx
27 Club ,routes/90.gpx
Nooseneck 18K Road Race,routes/91.gpx
The Midnight Ride Arlington start,routes/92.gpx
The Big Loop,routes/93.gpx
40mi Carlisle ,routes/94.gpx
TdG 2021,routes/95.gpx
Season Opener Bike 2022,routes/96.gpx
Lincoln Loop 2.0,routes/97.gpx
The Midnight Ride 2022,routes/98.gpx
Midnight Marathon 2021 ,routes/99.gpx
Winn Street-Bedford Street-Minuteman Bikeway,routes/100.gpx
B52 Somerville Start ,routes/101.gpx
M state,routes/102.gpx
Newport Triathlon,routes/103.gpx
White Mountains Tri - HALF Bike ,routes/104.gpx
Harvest Olympic 2021,routes/105.gpx
Hilly 10 Miler ,routes/106.gpx
EZ30,routes/107.gpx
27 Club ,routes/108.gpx
Conant Loop,routes/109.gpx
St. George Marathon 2021,routes/110.gpx
Beacon Street-Dr. Paul Dudley White Path-Alewife Linear Park,routes/111.gpx
27 Club ,routes/112.gpx
Nooseneck 18K Road Race,routes/113.gpx
White Mountains Tri Bike 2021,routes/114.gpx
The Big Loop,routes/115.gpx
40mi Carlisle ,routes/116.gpx
TdG 2021,routes/117.gpx
Lincoln Loop 2.0,routes/118.gpx
CRW 10 Miler ,routes/119.gpx
Midnight Marathon 2021 ,routes/120.gpx
B52 Somerville Start ,routes/121.gpx
M state,routes/122.gpx
Mystic Lakes TT  - 5 Mi ,routes/123.gpx
Newport Triathlon,routes/124.gpx
White Mountains Tri - HALF Bike ,routes/125.gpx
Harvest Olympic 2021,routes/126.gpx
Hilly 10 Miler ,routes/127.gpx
EZ30,routes/128.gpx
27 Club ,routes/129.gpx
Conant Loop,routes/130.gpx
St. George Marathon 2021,routes/131.gpx
Beacon Street-Dr. Paul Dudley White Path-Alewife Linear Park,routes/132.gpx
27 Club ,routes/133.gpx
Nooseneck 18K Road Race,routes/134.gpx
White Mountains Tri Bike 2021,routes/135.gpx
The Big Loop,routes/136.gpx
40mi Carlisle ,routes/137.gpx
TdG 2021,routes/138.gpx
Lincoln Loop 2.0,routes/139.gpx
CRW 10 Miler ,routes/140.gpx
Conant TT,routes/141.gpx
Mornin15,routes/142.gpx
Fall Fifty,routes/143.gpx
Webster Avenue-Dr. Paul Dudley White Path-Massachusetts Avenue,routes/144.gpx
Mystic Lakes TT  - 5 Mi ,routes/145.gpx
The Waverly ,routes/146.gpx
route from gpx,routes/147.gpx
After-work Roll,routes/148.gpx
Bedford Concord 34,routes/149.gpx
CRW Monday Metro,routes/150.gpx
WGBH,routes/151.gpx
Walden56,routes/152.gpx
Lincoln Lollipop V2,routes/153.gpx
Quick Bedford Loop,routes/154.gpx
15B4,routes/155.gpx
Rippers Hillz - Extended Edition,routes/156.gpx
HillHunter,routes/157.gpx
60 from Walden ,routes/158.gpx
Run CMB,routes/159.gpx
Fresh14,routes/160.gpx
Mystic 5Mi TT,routes/161.gpx
Hilltowns Ride 2019,routes/162.gpx
Cambridge Ride,routes/163.gpx
Weston,routes/164.gpx
Salem sun,routes/165.gpx
CBTT 1 Lap,routes/166.gpx
North Shore Tour V2,routes/167.gpx
Harvest Tri- Olympic,routes/168.gpx
Cambridge Half '19,routes/169.gpx
nahant jaunt,routes/170.gpx
Bedford 40,routes/171.gpx
Buzzard's Bay Tri,routes/172.gpx
Hingham Coastal Ride,routes/173.gpx
Cape Cod Touch-and-go,routes/174.gpx
Lake T Olympic Run,routes/175.gpx
Carlisle 41,routes/176.gpx
Far Fitchburg,routes/177.gpx
Run CMB,routes/178.gpx
Bedford 37,routes/179.gpx
Concord 50s,routes/180.gpx
Hilltowns Ride 2019,routes/181.gpx
Cambridge Ride,routes/182.gpx
Weston 35,routes/183.gpx
Weston,routes/184.gpx
Salem sun,routes/185.gpx
Lake Terramuggus Olympic Triathlon 2018,routes/186.gpx
10 Miles High,routes/187.gpx
Harvest Tri- Olympic,routes/188.gpx
Cambridge Half '19,routes/189.gpx
nahant jaunt,routes/190.gpx
Bedford 40,routes/191.gpx
Buzzard's Bay Tri,routes/192.gpx
Mystic 10mi,routes/193.gpx
Hingham Coastal Ride,routes/194.gpx
Hilla?,routes/195.gpx
Cape Cod Touch-and-go,routes/196.gpx
Harvest Tri SPRINT RACECOURSE,routes/197.gpx
Lake T Olympic Run,routes/198.gpx
Far Fitchburg,routes/199.gpx
Bedford 37,routes/200.gpx
Hilltowns Ride 2019,routes/201.gpx
Cambridge Ride,routes/202.gpx
Weston 35,routes/203.gpx
Weston,routes/204.gpx
Salem sun,routes/205.gpx
Lake Terramuggus Olympic Triathlon 2018,routes/206.gpx
10 Miles High,routes/207.gpx
Harvest Tri- Olympic,routes/208.gpx
Cambridge Half '19,routes/209.gpx
nahant jaunt,routes/210.gpx
Bedford 40,routes/211.gpx
Quick20,routes/212.gpx
Buzzard's Bay Tri,routes/213.gpx
Mystic 10mi,routes/214.gpx
Hingham Coastal Ride,routes/215.gpx
Hilla?,routes/216.gpx
Cape Cod Touch-and-go,routes/217.gpx
Harvest Tri SPRINT RACECOURSE,routes/218.gpx
Lake T Olympic Run,routes/219.gpx
Far Fitchburg,routes/220.gpx
To RI,routes/221.gpx
Weston 35,routes/222.gpx
Weston,routes/223.gpx
Salem sun,routes/224.gpx
Lake Terramuggus Olympic Triathlon 2018,routes/225.gpx
Shelburne Falls,routes/226.gpx
10 Miles High,routes/227.gpx
SuperSunday18,routes/228.gpx
Cambridge Half Marathon,routes/229.gpx
nahant jaunt,routes/230.gpx
Quick20,routes/231.gpx
Buzzard's Bay Tri,routes/232.gpx
Mystic 10mi,routes/233.gpx
Hingham Coastal Ride,routes/234.gpx
Blue Hills,routes/235.gpx
Hilla?,routes/236.gpx
Cape Cod Touch-and-go,routes/237.gpx
Harvest Tri SPRINT RACECOURSE,routes/238.gpx
Lake T Olympic Run,routes/239.gpx
Noho 2 Boston,routes/240.gpx
R1,routes/241.gpx
To RI,routes/242.gpx
Training wheels ,routes/243.gpx
Plum Island 100,routes/244.gpx
After Work 32,routes/245.gpx
The Mystic Hour Advanced,routes/246.gpx
Shelburne Falls,routes/247.gpx
Afterwork 50,routes/248.gpx
Boston-PTown,routes/249.gpx
ClimbClouds_strava,routes/250.gpx
The Mystic Hour,routes/251.gpx
Western 75,routes/252.gpx
SuperSunday18,routes/253.gpx
Cambridge Half Marathon,routes/254.gpx
Townsend Send-it,routes/255.gpx
George Brook Trail,routes/256.gpx
Boston Marathon Route Out and Back,routes/257.gpx
6 Horsemen ,routes/258.gpx
Blue Hills,routes/259.gpx
afterwork Lincoln 26,routes/260.gpx
R1,routes/261.gpx
Blue Hills,routes/262.gpx
Nut Island,routes/263.gpx
Acton Ride,routes/264.gpx
Training wheels ,routes/265.gpx
Plum Island 100,routes/266.gpx
After Work 32,routes/267.gpx
The Mystic Hour Advanced,routes/268.gpx
New Hampshire Touch-n-Go,routes/269.gpx
Plymouth Provincetown,routes/270.gpx
Quincy - Provincetown ,routes/271.gpx
Northfield MH Ride,routes/272.gpx
Marblehead MA,routes/273.gpx
Out to Weston,routes/274.gpx
The Mystic Hour,routes/275.gpx
Western 75,routes/276.gpx
30mi Loop,routes/277.gpx
35 mi Wilmington,routes/278.gpx
Boston Marathon Route Out and Back,routes/279.gpx
Gloucester Ride,routes/280.gpx
Blue Hills,routes/281.gpx
Nut Island,routes/282.gpx
NCC Thursday Night Ride,routes/283.gpx
New Hampshire Touch-n-Go,routes/284.gpx
Plymouth Provincetown,routes/285.gpx
Mt Tom to 112,routes/286.gpx
Northfield MH Ride,routes/287.gpx
Marblehead MA,routes/288.gpx
Out to Weston,routes/289.gpx
Keene Century,routes/290.gpx
Chesterfield Via 112,routes/291.gpx
Shelburne Falls Loop,routes/292.gpx
30mi Loop,routes/293.gpx
35 mi Wilmington,routes/294.gpx
Quabbin Tour,routes/295.gpx
